"","timestamp","value","cluster"
"99572",2019-04-03 17:58:30,7379,"4"
"73411",2019-03-17 00:37:34,674,"2"
"88260",2019-03-26 08:40:45,7087,"1"
"79086",2019-03-20 15:43:50,441,"2"
"84335",2019-03-23 06:21:19,6983,"1"
"99564",2019-04-03 17:49:06,7250,"3"
"80046",2019-03-20 18:16:12,430,"2"
"100280",2019-04-04 12:19:43,7030,"1"
"77265",2019-03-20 07:50:51,304,"2"
"92016",2019-03-29 17:33:18,7194,"1"
"63623",2019-03-09 02:33:07,7796,"5"
"62760",2019-03-08 07:04:34,7973,"4"
"96687",2019-04-02 11:43:55,7246,"3"
"85846",2019-03-24 13:17:02,7020,"5"
"70187",2019-03-15 03:23:02,624,"2"
"82879",2019-03-21 23:46:31,7396,"1"
"92463",2019-03-30 03:21:47,7110,"3"
"86182",2019-03-24 20:44:21,7415,"4"
"84810",2019-03-23 16:38:20,4836,"4"
"92694",2019-03-30 08:10:11,7016,"4"
"70609",2019-03-15 03:56:34,616,"2"
"78208",2019-03-20 13:37:00,397,"4"
"80940",2019-03-20 21:58:32,385,"4"
"100897",2019-04-05 06:00:35,7346,"1"
"69677",2019-03-14 20:31:44,6841,"5"
"74101",2019-03-17 09:11:30,7043,"4"
"68701",2019-03-13 20:28:26,7517,"4"
"97386",2019-04-02 15:49:43,653,"6"
"76948",2019-03-19 16:00:20,385,"5"
"102369",2019-04-06 15:35:17,7120,"1"
"82140",2019-03-21 12:15:20,5554,"5"
"65285",2019-03-10 16:11:33,7674,"5"
"87228",2019-03-25 13:49:12,601,"6"
"75729",2019-03-18 16:17:00,373,"4"
"68260",2019-03-13 12:12:54,7301,"7"
"63622",2019-03-09 02:31:59,7700,"4"
"74337",2019-03-17 14:55:23,7414,"3"
"77582",2019-03-20 11:49:14,397,"6"
"70371",2019-03-15 03:38:14,609,"4"
"97659",2019-04-02 16:13:23,660,"3"
"91954",2019-03-29 15:39:09,6801,"7"
"78619",2019-03-20 14:38:09,419,"2"
"88766",2019-03-26 18:31:46,6968,"1"
"101429",2019-04-05 18:31:58,5896,"3"
"97831",2019-04-02 16:28:23,687,"2"
"79013",2019-03-20 15:36:21,385,"5"
"98016",2019-04-02 16:44:48,674,"3"
"91897",2019-03-29 14:03:07,6999,"7"
"67201",2019-03-12 15:57:32,7359,"5"
"88845",2019-03-26 19:55:39,6864,"3"
"70416",2019-03-15 03:41:34,645,"2"
"82867",2019-03-21 23:38:03,7374,"1"
"91539",2019-03-29 06:57:16,7234,"4"
"86807",2019-03-25 11:47:39,7292,"4"
"98565",2019-04-02 19:02:46,7099,"3"
"92642",2019-03-30 07:02:10,7171,"4"
"65136",2019-03-10 13:19:15,7862,"5"
"64046",2019-03-09 13:18:49,7550,"4"
"97693",2019-04-02 16:16:19,667,"6"
"100731",2019-04-05 01:14:18,7252,"1"
"82284",2019-03-21 14:26:50,6322,"5"
"62990",2019-03-08 12:54:24,7767,"5"
"81271",2019-03-21 00:35:10,385,"6"
"90980",2019-03-28 19:17:22,7187,"1"
"92741",2019-03-30 08:56:12,6919,"4"
"71261",2019-03-15 05:24:31,674,"2"
"73943",2019-03-17 05:44:47,6600,"1"
"99161",2019-04-03 07:56:21,7663,"3"
"86633",2019-03-25 08:02:27,6862,"5"
"91635",2019-03-29 09:03:46,6832,"4"
"85747",2019-03-24 11:02:40,7432,"4"
