Sample_Index,Max_diff_time_hours,Time_period,Value_min,Value_max,Range,Mean,Sd,Median
134,0.174170278,21.1,8.98,16.26,7.29,11.72,1.91,11.51
135,0.174170278,20.75,8.97,16.26,7.29,11.81,1.91,11.65
136,0.198375833,21.36,8.97,16.26,7.29,11.91,1.9,11.77
137,0.209886111,23.38,8.97,16.15,7.18,11.81,1.86,11.65
138,0.209886111,23.58,8.97,15.96,6.99,11.7,1.82,11.53
139,0.209886111,24.42,8.97,15.96,7,11.63,1.8,11.49
140,0.209886111,23.49,8.97,16.11,7.14,11.68,1.83,11.5
141,1.9786675,23.67,8.96,16.11,7.14,11.69,1.84,11.52
142,1.9786675,24.03,8.96,16.11,7.14,11.77,1.87,11.56
143,1.9786675,23.54,8.96,16.11,7.14,11.84,1.89,11.61
144,1.9786675,22.62,8.96,16.04,7.08,11.91,1.91,11.71
145,0.209686111,20.03,8.97,16.07,7.1,12.01,1.94,11.81
146,0.209686111,20.04,8.97,16.28,7.31,12,1.97,11.84
147,0.164729444,20.54,8.98,16.28,7.3,11.93,1.96,11.77
148,4.598796111,27.82,7.86,16.28,8.42,11.79,1.91,11.68
149,4.598796111,28.44,7.86,16.28,8.42,11.68,1.86,11.57
150,4.598796111,28.05,7.86,16.02,8.16,11.65,1.83,11.56
151,4.598796111,27.17,7.86,16.02,8.16,11.7,1.87,11.61
152,0.139798056,20.35,8.84,16.02,7.18,11.77,1.9,11.67
153,0.153943611,19.48,8.84,16.1,7.26,11.81,1.95,11.7
154,0.153943611,19.43,8.84,16.1,7.26,11.81,1.92,11.68
155,0.153943611,20.28,8.84,16.1,7.26,11.81,1.9,11.69
156,0.153943611,20.75,8.85,16.1,7.25,11.79,1.87,11.7
157,0.151209167,21.45,8.84,15.95,7.1,11.72,1.81,11.64
158,0.148171389,21.53,8.84,15.95,7.1,11.71,1.83,11.63
159,0.143604722,20.01,8.84,15.93,7.09,11.69,1.87,11.57
160,0.143604722,19.9,8.84,15.93,7.09,11.61,1.89,11.45
161,0.154976111,19.37,8.84,16.15,7.32,11.69,1.94,11.52
162,0.154976111,19.86,8.84,16.53,7.7,11.67,1.97,11.43
163,0.154976111,20.7,8.84,16.53,7.7,11.67,1.96,11.46
164,0.154976111,20.83,8.84,16.53,7.69,11.7,1.96,11.49
165,0.122741667,21.57,8.84,16.53,7.69,11.54,1.91,11.31
166,0.122741667,20.9,8.84,16.12,7.28,11.57,1.87,11.4
167,0.157810278,21.85,8.84,16.06,7.22,11.5,1.83,11.33
168,0.157810278,21.31,8.85,16.06,7.21,11.57,1.85,11.42
169,0.251111111,22.32,8.85,16.08,7.24,11.67,1.88,11.53
170,0.251111111,23.18,8.85,16.08,7.24,11.67,1.87,11.57
171,0.251111111,22.23,8.87,16.08,7.21,11.77,1.87,11.7
172,0.251111111,23.58,8.85,16.08,7.23,11.71,1.85,11.68
173,0.249023333,22.76,8.85,15.99,7.14,11.7,1.83,11.73
174,0.243247222,22.02,8.85,16.06,7.21,11.64,1.83,11.69
175,0.243247222,22.21,8.85,16.19,7.34,11.55,1.85,11.53
176,0.243247222,21.67,8.85,16.19,7.34,11.5,1.82,11.45
177,0.158831389,21.45,8.85,16.19,7.34,11.54,1.83,11.43
178,0.166977778,21.33,8.85,16.19,7.34,11.64,1.85,11.53
179,0.194920556,21.37,8.85,15.95,7.1,11.71,1.85,11.62
180,0.268620278,20.78,8.89,16.47,7.58,11.73,1.84,11.66
181,0.268620278,21.3,8.88,16.47,7.59,11.68,1.85,11.59
182,0.268620278,22.77,8.88,16.47,7.59,11.59,1.85,11.43
183,0.268620278,23.2,8.88,16.47,7.59,11.5,1.83,11.3
184,0.163323056,24.03,8.88,16.04,7.16,11.45,1.81,11.21
185,0.163323056,23.78,8.88,16.04,7.16,11.44,1.76,11.26
186,0.282909444,22.49,8.88,16.04,7.16,11.44,1.73,11.29
187,0.282909444,21.49,8.88,15.89,7.01,11.48,1.72,11.35
188,0.282909444,20.81,8.88,15.69,6.82,11.5,1.72,11.41
189,0.282909444,21.01,8.89,15.69,6.8,11.52,1.71,11.43
190,0.184476944,21.57,8.89,15.55,6.66,11.6,1.73,11.61
191,0.184476944,23.07,8.89,15.55,6.66,11.61,1.72,11.62
192,0.134688889,23.41,8.91,15.74,6.83,11.66,1.75,11.65
193,0.134688889,22.59,8.89,15.74,6.85,11.67,1.8,11.67
194,0.167038889,22.42,8.89,15.74,6.85,11.6,1.8,11.53
195,0.167038889,21.25,8.89,16.12,7.23,11.61,1.81,11.54
196,0.167038889,20.97,8.89,16.12,7.23,11.56,1.78,11.48
197,0.167038889,21.46,8.89,16.12,7.23,11.52,1.75,11.46
198,0.159368333,21.62,8.89,16.12,7.23,11.49,1.75,11.32
199,0.159368333,22.03,8.89,15.89,7,11.48,1.74,11.32
200,0.159368333,21.93,8.89,15.89,7,11.5,1.75,11.4
201,0.159368333,22.09,8.9,15.89,6.99,11.46,1.74,11.28
202,0.144068333,22.74,8.91,15.88,6.98,11.52,1.73,11.43
203,0.177155556,22.75,8.91,15.88,6.98,11.48,1.71,11.37
204,0.177155556,23.01,8.91,15.88,6.97,11.51,1.71,11.44
205,0.275746389,22.62,8.91,15.88,6.97,11.59,1.72,11.53
206,0.275746389,22.53,8.9,15.61,6.71,11.52,1.72,11.4
207,0.275746389,21.47,8.9,15.82,6.92,11.61,1.73,11.58
208,0.275746389,20.82,8.9,15.82,6.92,11.62,1.73,11.6
209,0.163496389,20.92,8.9,15.84,6.94,11.56,1.73,11.57
210,0.164277778,19.71,8.9,15.84,6.94,11.65,1.75,11.66
211,0.164277778,21.14,8.9,15.84,6.94,11.59,1.76,11.56
212,0.219981389,21.48,8.91,15.84,6.94,11.56,1.76,11.46
213,0.219981389,20.76,8.91,15.85,6.94,11.65,1.78,11.59
214,0.219981389,21.22,8.91,15.85,6.94,11.61,1.77,11.54
215,0.219981389,21.05,8.91,15.85,6.94,11.6,1.78,11.47
216,0.208987778,21.7,8.92,15.85,6.93,11.58,1.77,11.46
217,0.208987778,22.02,8.92,15.75,6.83,11.55,1.76,11.46
218,0.324485278,22.9,8.91,15.75,6.84,11.53,1.71,11.45
219,6.285914722,55.22,0,16.8,16.8,11.52,1.71,11.45
220,6.285914722,58.8,0,16.8,16.8,11.63,1.75,11.51
221,6.285914722,61.1,0,16.8,16.8,11.7,1.78,11.52
222,6.285914722,60.05,0,16.8,16.8,11.92,1.87,11.72
223,0.907913889,26.94,9.29,16.5,7.21,12.08,1.89,11.9
224,0.907913889,22.53,9.28,16.51,7.23,12.13,1.93,12.02
225,0.436460278,20.59,9.22,16.65,7.43,12.14,1.94,11.99
226,0.436460278,19.97,9.22,16.81,7.6,12.07,1.95,11.81
227,0.436460278,20.97,9.22,16.81,7.6,11.98,1.93,11.71
228,0.436460278,21.26,9.22,16.81,7.6,11.85,1.87,11.59
229,0.158904722,22.12,9.23,16.81,7.58,11.77,1.8,11.52
230,0.155822222,23.38,9.24,16.11,6.88,11.71,1.73,11.52
231,0.174808333,22.42,9.24,16.08,6.84,11.82,1.75,11.64
232,0.174808333,21.63,9.24,16.09,6.84,11.91,1.8,11.72
233,0.174808333,22.74,9.24,16.48,7.24,12,1.83,11.81
234,0.174808333,22.74,9.24,16.48,7.24,12.09,1.84,11.97
235,0.165034167,24.48,9.24,16.48,7.24,11.97,1.79,11.81
236,0.171252778,26.69,9.24,16.48,7.24,11.87,1.77,11.66
237,0.199369444,26.08,9.24,16.13,6.9,11.82,1.79,11.54
238,0.214213889,27.36,9.24,16.19,6.95,11.8,1.81,11.47
239,0.214213889,26.54,9.24,16.19,6.95,11.84,1.84,11.6
240,0.214213889,24.7,9.24,16.42,7.18,11.97,1.86,11.8
241,0.214213889,23.7,9.24,16.42,7.18,12.07,1.84,11.95
242,0.186713889,21.42,9.34,16.42,7.08,12.15,1.87,11.99
243,0.179225833,21.56,9.36,16.42,7.07,12.16,1.87,12
244,0.179225833,23.56,9.34,16.4,7.05,12.09,1.85,11.89
245,0.189951667,24.48,9.34,16.4,7.05,12.04,1.84,11.78
246,0.189951667,25.58,9.34,16.42,7.07,11.93,1.76,11.69
247,0.734200833,25.65,9.34,16.42,7.07,11.94,1.75,11.69
248,0.734200833,24.94,9.36,16.42,7.06,11.96,1.76,11.69
249,3.295055556,24.86,9.38,16.42,7.04,12.04,1.75,11.83
250,3.295055556,24.37,9.38,16.73,7.36,12.07,1.8,11.9
251,3.295055556,24.44,9.38,16.73,7.36,12.02,1.82,11.67
252,3.295055556,24.49,9.38,16.73,7.36,12.01,1.83,11.65
253,0.281340833,23.56,9.38,16.92,7.55,11.97,1.83,11.63
254,0.281340833,23.94,9.41,16.92,7.52,11.92,1.79,11.61
255,0.156183333,22.15,9.42,16.92,7.51,12.05,1.8,11.89
256,0.156183333,21.31,9.42,16.92,7.51,12.13,1.81,11.94
257,0.145779722,19.95,9.42,16.61,7.19,12.18,1.84,11.94
258,0.1517,19.73,9.46,16.61,7.16,12.25,1.85,12.05
259,0.174725,21.19,9.47,16.61,7.14,12.15,1.86,11.82
260,0.174725,22.16,9.47,16.61,7.14,12.21,1.9,11.95
261,0.174725,25.61,9.47,16.43,6.96,12.16,1.92,11.87
262,0.174725,27.48,9.46,16.43,6.98,12.12,1.93,11.82
263,0.168909167,26.87,9.46,16.43,6.98,12.18,1.91,11.98
264,0.168909167,25.75,9.46,16.35,6.9,12.17,1.86,11.97
265,0.168909167,23.82,9.46,16.74,7.29,12.17,1.84,11.97
266,0.167078611,20.98,9.46,16.74,7.29,12.27,1.83,12.15
267,0.31255,23.07,9.45,16.74,7.3,12.2,1.88,11.97
268,0.31255,24.29,9.45,16.74,7.3,12.09,1.88,11.74
269,0.31255,23.86,9.45,16.44,7,12.11,1.85,11.83
270,0.31255,24.87,9.45,16.44,7,12.01,1.81,11.68
271,0.2691675,22.53,9.46,16.69,7.23,12.06,1.79,11.84
272,0.2691675,21.33,9.47,16.72,7.25,12.11,1.8,11.89
273,5.9155,28.11,9.49,16.72,7.23,12.16,1.86,11.9
274,5.9155,27.41,9.49,16.72,7.23,12.2,1.89,11.97
275,5.9155,28.49,9.49,16.72,7.23,12.19,1.9,11.93
276,5.9155,29.91,9.52,16.78,7.26,12.15,1.89,11.9
277,0.275751944,25.86,9.52,16.78,7.26,12.1,1.84,11.88
278,0.298408333,27.46,9.52,16.78,7.26,12.12,1.85,11.88
279,0.298408333,27.33,9.52,16.78,7.26,12.19,1.87,11.93
280,0.298408333,26.08,9.51,16.79,7.28,12.25,1.88,11.99
281,0.298408333,24.74,9.51,16.79,7.28,12.24,1.9,11.94
282,0.191539722,23.62,9.51,16.79,7.28,12.21,1.85,11.94
283,0.141885278,23.52,9.51,16.91,7.4,12.13,1.85,11.84
284,0.141885278,23.49,9.54,16.98,7.45,12.16,1.85,11.87
285,0.280825,22.5,9.54,16.98,7.45,12.17,1.84,11.91
286,0.280825,21.84,9.54,16.98,7.45,12.18,1.88,11.84
287,0.280825,21.33,9.54,17.46,7.93,12.23,1.88,11.89
288,0.280825,22.23,9.54,17.46,7.93,12.15,1.88,11.75
289,0.226611111,21.45,9.54,17.46,7.93,12.12,1.88,11.71
290,0.226611111,21.08,9.54,17.46,7.93,12.13,1.89,11.73
291,0.199473056,20.64,9.55,16.54,6.99,12.11,1.86,11.79
292,0.153435,20.14,9.52,16.54,7.02,12.12,1.86,11.9
293,0.183523056,21.87,9.52,16.54,7.02,12.15,1.85,11.96
294,0.183523056,24.46,9.52,16.54,7.03,12.14,1.84,11.93
295,0.183523056,26.77,9.52,16.37,6.86,12.19,1.86,11.97
296,0.183523056,27.08,9.52,16.37,6.86,12.28,1.87,12.06
297,0.291412778,26.16,9.52,16.62,7.1,12.28,1.86,12.01
